signal id;x;y;time;signal state
exampleSignal8;-3848.2198604982823;-3209.468547891686;28320.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;28320.0;RED
exampleSignal6;-5020.0;0.0;28350.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;28350.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;28350.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;28350.0;GREEN
exampleSignal6;-5020.0;0.0;28380.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;28380.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;28380.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;28380.0;RED
exampleSignal6;-5020.0;0.0;28410.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;28410.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;28410.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;28410.0;GREEN
exampleSignal6;-5020.0;0.0;28440.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;28440.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;28440.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;28440.0;RED
exampleSignal6;-5020.0;0.0;28470.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;28470.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;28470.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;28470.0;GREEN
exampleSignal6;-5020.0;0.0;28500.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;28500.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;28500.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;28500.0;RED
exampleSignal6;-5020.0;0.0;28530.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;28530.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;28530.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;28530.0;GREEN
exampleSignal6;-5020.0;0.0;28560.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;28560.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;28560.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;28560.0;RED
exampleSignal6;-5020.0;0.0;28590.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;28590.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;28590.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;28590.0;GREEN
exampleSignal6;-5020.0;0.0;28620.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;28620.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;28620.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;28620.0;RED
exampleSignal6;-5020.0;0.0;28650.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;28650.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;28650.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;28650.0;GREEN
exampleSignal6;-5020.0;0.0;28680.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;28680.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;28680.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;28680.0;RED
exampleSignal6;-5020.0;0.0;28710.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;28710.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;28710.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;28710.0;GREEN
exampleSignal6;-5020.0;0.0;28740.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;28740.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;28740.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;28740.0;RED
exampleSignal6;-5020.0;0.0;28770.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;28770.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;28770.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;28770.0;GREEN
exampleSignal6;-5020.0;0.0;28800.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;28800.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;28800.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;28800.0;RED
exampleSignal6;-5020.0;0.0;28830.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;28830.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;28830.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;28830.0;GREEN
exampleSignal6;-5020.0;0.0;28860.0;GREEN
exampleSignal7;-4717.72973868487;-1707.7232010396222;28860.0;GREEN
exampleSignal8;-3848.2198604982823;-3209.468547891686;28860.0;RED
exampleSignal9;-2516.8981394178213;-4324.453220139291;28860.0;RED
exampleSignal6;-5020.0;0.0;28890.0;RED
exampleSignal7;-4717.72973868487;-1707.7232010396222;28890.0;RED
exampleSignal8;-3848.2198604982823;-3209.468547891686;28890.0;GREEN
exampleSignal9;-2516.8981394178213;-4324.453220139291;28890.0;GREEN
exampleSignal6;-5020.0;0.0;28920.0;GREEN
