2018-05-30 11:11:02,524 |  INFO  | 4427 [main] | o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/css/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#1'
2018-05-30 11:11:02,526 |  INFO  | 4429 [main] | o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/images/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#2'
2018-05-30 11:11:02,529 |  INFO  | 4432 [main] | o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/lib/**] onto handler 'org.springframework.web.servlet.resource.ResourceHttpRequestHandler#3'
2018-05-30 11:11:03,633 |  INFO  | 5536 [main] | o.s.mock.web.MockServletContext - Initializing Spring FrameworkServlet ''
2018-05-30 11:11:03,634 |  INFO  | 5537 [main] | o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization started
2018-05-30 11:11:03,650 |  INFO  | 5553 [main] | o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization completed in 16 ms
2018-05-30 11:11:03,753 |  INFO  | 5656 [main] | o.s.mock.web.MockServletContext - Initializing Spring FrameworkServlet ''
2018-05-30 11:11:03,753 |  INFO  | 5656 [main] | o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization started
2018-05-30 11:11:03,757 |  INFO  | 5660 [main] | o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization completed in 4 ms
2018-05-30 11:11:03,900 |  INFO  | 5803 [main] | o.s.mock.web.MockServletContext - Initializing Spring FrameworkServlet ''
2018-05-30 11:11:03,900 |  INFO  | 5803 [main] | o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization started
2018-05-30 11:11:03,902 |  INFO  | 5805 [main] | o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization completed in 2 ms
2018-05-30 11:11:03,918 |  INFO  | 5821 [main] | o.s.mock.web.MockServletContext - Initializing Spring FrameworkServlet ''
2018-05-30 11:11:03,918 |  INFO  | 5821 [main] | o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization started
2018-05-30 11:11:03,921 |  INFO  | 5824 [main] | o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization completed in 3 ms
2018-05-30 11:11:03,950 |  INFO  | 5853 [main] | o.s.mock.web.MockServletContext - Initializing Spring FrameworkServlet ''
2018-05-30 11:11:03,950 |  INFO  | 5853 [main] | o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization started
2018-05-30 11:11:03,952 |  INFO  | 5855 [main] | o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization completed in 2 ms
2018-05-30 11:11:03,955 |  INFO  | 5858 [main] | n.c.i.c.a.MainRunConnectionApiController - API: client requests connections for terminal UID: 5
2018-05-30 11:11:03,961 |  INFO  | 5864 [main] | o.s.mock.web.MockServletContext - Initializing Spring FrameworkServlet ''
2018-05-30 11:11:03,961 |  INFO  | 5864 [main] | o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization started
2018-05-30 11:11:03,963 |  INFO  | 5866 [main] | o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization completed in 2 ms
2018-05-30 11:11:03,979 |  INFO  | 5882 [main] | o.s.mock.web.MockServletContext - Initializing Spring FrameworkServlet ''
2018-05-30 11:11:03,980 |  INFO  | 5883 [main] | o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization started
2018-05-30 11:11:03,982 |  INFO  | 5885 [main] | o.s.t.w.s.TestDispatcherServlet - FrameworkServlet '': initialization completed in 2 ms
